iter	Logloss
0	0.6520106129
1	0.6221752363
2	0.5950335473
3	0.5744971836
4	0.5585063266
5	0.5412060452
6	0.5216299234
7	0.5097727431
8	0.500829795
9	0.4881458872
10	0.4777420673
11	0.4682146839
12	0.4592509319
13	0.4520438283
14	0.4461868915
15	0.4398518199
16	0.4341268244
17	0.4256568987
18	0.4208223009
19	0.4154535667
20	0.4106739477
21	0.4062022966
22	0.4031579716
23	0.3993039475
24	0.3959796945
25	0.3919014685
26	0.3890232204
27	0.3869301707
28	0.3826447713
29	0.3789134861
30	0.3764777429
31	0.3727054399
32	0.3696243443
33	0.3669504382
34	0.3639282541
35	0.3598859335
36	0.3567329485
37	0.354077526
38	0.3515182967
39	0.3488764812
40	0.3449748324
41	0.3427595551
42	0.3401866008
43	0.3383958168
44	0.335693438
45	0.334214358
46	0.3306243739
47	0.3292560774
48	0.3268904735
49	0.3251230692
50	0.3238342914
51	0.3221599146
52	0.3198061678
53	0.3176367455
54	0.314990722
55	0.3121157381
56	0.3103079648
57	0.3081984372
58	0.3058711376
59	0.3031385756
60	0.301261076
61	0.298342105
62	0.2964031573
63	0.2941819417
64	0.291943029
65	0.2899532515
66	0.2871409937
67	0.2852245213
68	0.2829739285
69	0.2819123809
70	0.2795127003
71	0.2770764459
72	0.27522852
73	0.2724650471
74	0.271444183
75	0.2691654717
76	0.2687371244
77	0.2681873557
78	0.2658628877
79	0.2645725368
80	0.2642489561
81	0.2609631647
82	0.2579252105
83	0.2576161414
84	0.2553254944
85	0.2525480998
86	0.2498058634
87	0.248406892
88	0.2471062178
89	0.2451253478
90	0.2428579429
91	0.2411119913
92	0.2386800628
93	0.2370851261
94	0.2353595065
95	0.2330222179
96	0.2314586443
97	0.2289747258
98	0.228625504
99	0.2267858761
